OLT名称,OLT IP,所属BNG,上联端口,用户类型,用户数量,VLAN范围,备注
OLT-BJ-DX-01,10.1.1.1,BNG-ME60-01,GE7/0/0,PPPoE,1200,1001-1100,
OLT-BJ-DX-02,10.1.1.2,BNG-ME60-01,GE7/0/1,PPPoE,980,1101-1200,
OLT-BJ-DX-03,10.1.1.3,BNG-ME60-01,GE7/0/2,PPPoE+IPTV,1500,1201-1300,
OLT-BJ-DX-04,10.1.1.4,BNG-ME60-01,GE7/0/3,PPPoE,800,1301-1400,
OLT-BJ-DX-05,10.1.1.5,BNG-ME60-01,GE8/0/0,DHCP,1100,1401-1500,
OLT-BJ-DX-06,10.1.1.6,BNG-ME60-01,GE8/0/1,DHCP+IPTV,1300,1501-1600,
OLT-BJ-DX-07,10.1.1.7,BNG-ME60-01,GE8/0/2,PPPoE,950,1601-1700,
OLT-BJ-DX-08,10.1.1.8,BNG-ME60-01,GE8/0/3,PPPoE,1050,1701-1800,
OLT-BJ-DX-09,10.1.1.9,BNG-ME60-01,GE10/0/0,专线+静态,200,1801-1850,专线用户
OLT-BJ-DX-10,10.1.1.10,BNG-ME60-01,GE10/0/1,专线+静态,180,1851-1900,专线用户
OLT-BJ-DX-11,10.1.1.11,BNG-ME60-01,GE10/0/2,PPPoE,880,1901-2000,
OLT-BJ-DX-12,10.1.1.12,BNG-ME60-01,GE10/0/3,PPPoE,920,2001-2100,
OLT-BJ-DX-13,10.1.1.13,BNG-ME60-01,GE11/0/0,PPPoE,780,2101-2200,
OLT-BJ-DX-14,10.1.1.14,BNG-ME60-01,GE11/0/1,DHCP,1150,2201-2300,
OLT-BJ-DX-15,10.1.1.15,BNG-ME60-01,GE11/0/2,PPPoE,1020,2301-2400,
OLT-BJ-DX-16,10.1.1.16,BNG-ME60-01,GE11/0/3,PPPoE,860,2401-2500,
OLT-BJ-DX-17,10.1.1.17,BNG-ME60-01,GE12/0/0,PPPoE+IPTV,1400,2501-2600,
OLT-BJ-DX-18,10.1.1.18,BNG-ME60-01,GE12/0/1,PPPoE,750,2601-2700,
OLT-BJ-DX-19,10.1.1.19,BNG-ME60-01,GE12/0/2,DHCP,1080,2701-2800,
OLT-BJ-DX-20,10.1.1.20,BNG-ME60-01,GE12/0/3,PPPoE,900,2801-2900,
OLT-BJ-DX-21,10.1.1.21,BNG-ME60-01,GE15/0/0,PPPoE,850,2901-3000,
OLT-BJ-DX-22,10.1.1.22,BNG-ME60-01,GE15/0/1,PPPoE,960,3001-3100,
