槽位号,单板型号,单板类型,单板描述,端口数量,端口类型,是否在用,EOX状态,序列号,备注
0,CR52-MPUB,主控板,主处理板MPUB,0,N/A,是,EOX,SN-MPUB-001,需替换
1,CR52-MPUB,主控板,主处理板MPUB,0,N/A,是,EOX,SN-MPUB-002,需替换
2,CR52-SFUB,交换网板,交换网板SFUB,0,N/A,是,EOX,SN-SFUB-001,需替换
3,CR52-SFUB,交换网板,交换网板SFUB,0,N/A,是,EOX,SN-SFUB-002,需替换
4,CR52-SFUB,交换网板,交换网板SFUB,0,N/A,是,正常,SN-SFUB-003,
5,CR52-P4CF,业务板,4端口OC-3/STM-1 POS,4,OC-3/STM-1,否,正常,SN-P4CF-001,未使用槽位
6,CR52-P2CF,业务板,2端口OC-12/STM-4 POS,2,OC-12/STM-4,否,正常,SN-P2CF-001,未使用槽位
7,CR52-E8GF,业务板,8端口千兆以太网光接口板,8,1000BASE-X,是,EOX,SN-E8GF-001,需替换
8,CR52-E8GF,业务板,8端口千兆以太网光接口板,8,1000BASE-X,是,EOX,SN-E8GF-002,需替换
9,CR52-P4CF,业务板,4端口OC-3/STM-1 POS,4,OC-3/STM-1,否,正常,SN-P4CF-002,未使用槽位
10,CR52-E24GF,业务板,24端口千兆以太网光接口板,24,1000BASE-X,是,EOX,SN-E24GF-001,需替换
11,CR52-E24GF,业务板,24端口千兆以太网光接口板,24,1000BASE-X,是,EOX,SN-E24GF-002,需替换
12,CR52-E12GF,业务板,12端口千兆以太网光接口板,12,1000BASE-X,是,正常,SN-E12GF-001,在网正常
13,CR52-E12GF,业务板,12端口千兆以太网光接口板,12,1000BASE-X,否,正常,SN-E12GF-002,空闲
14,CR52-P1CF,业务板,1端口OC-48/STM-16 POS,1,OC-48/STM-16,否,正常,SN-P1CF-001,未使用槽位
15,CR52-E8GF,业务板,8端口千兆以太网光接口板,8,1000BASE-X,是,EOX,SN-E8GF-003,需替换
